NameId,Text,nid,Level_Text,Negetive,Neutral,Positive,bully
baby_breana,hi sent email added list,0,"['hi', 'sent', 'email', 'added', 'list']",0.0,1.0,0.0,0
baby_breana,hi,0,['hi'],0.0,1.0,0.0,0
baby_breana,hi,0,['hi'],0.0,1.0,0.0,0
aladiesmasseur,hello sweet,1,"['hello', 'sweet']",0.0,0.25,0.75,0
baby_breana,Your name jim,0,"['Your', 'name', 'jim']",0.0,1.0,0.0,0
aladiesmasseur,,1,[],0.0,0.0,0.0,0
aladiesmasseur,bad boy,1,"['bad', 'boy']",0.778,0.222,0.0,1
baby_breana,i am good,0,"['i am', 'good']",0.0,0.256,0.744,0
baby_breana,name breana,0,"['name', 'breana']",0.0,1.0,0.0,0
aladiesmasseur,glad meet,1,"['glad', 'meet']",0.0,0.25,0.75,0
aladiesmasseur,look profile,1,"['look', 'profile']",0.0,1.0,0.0,0
baby_breana,,0,[],0.0,0.0,0.0,0
aladiesmasseur,look,1,['look'],0.0,1.0,0.0,0
baby_breana,,0,[],0.0,0.0,0.0,0
aladiesmasseur,like shape look,1,"['like', 'shape', 'look']",0.0,0.444,0.556,0
baby_breana,aww lol thx,0,"['aww', 'lol', 'thx']",0.0,0.159,0.841,0
aladiesmasseur,look aladiesmasseur,1,"['look', 'aladiesmasseur']",0.0,1.0,0.0,0
baby_breana,umm ok ill try,0,"['umm', 'ok', 'ill', 'try']",0.4,0.286,0.314,1
aladiesmasseur,ok,1,['ok'],0.0,0.0,1.0,0
baby_breana,whats Your asl,0,"['whats', 'Your', 'asl']",0.0,1.0,0.0,0
aladiesmasseur,young 50 massage work,1,"['young', '50', 'massage', 'work']",0.0,1.0,0.0,0
baby_breana,i am 13 f eureka,0,"['i am', '13', 'f', 'eureka']",0.0,1.0,0.0,0
aladiesmasseur,eureka ca,1,"['eureka', 'ca']",0.0,1.0,0.0,0
aladiesmasseur,iam calif st,1,"['iam', 'calif', 'st']",0.0,1.0,0.0,0
aladiesmasseur,guy play school,1,"['guy', 'play', 'school']",0.0,0.455,0.545,0
baby_breana,,0,[],0.0,0.0,0.0,0
aladiesmasseur,touch,1,['touch'],0.0,1.0,0.0,0
baby_breana,mean kinda dont know mean,0,"['mean', 'kinda', 'dont', 'know', 'mean']",0.0,1.0,0.0,0
aladiesmasseur,kiss,1,['kiss'],0.0,0.0,1.0,0
baby_breana,lol kissed b4,0,"['lol', 'kissed', 'b4']",0.0,0.156,0.844,0
aladiesmasseur,cool,1,['cool'],0.0,0.0,1.0,0
aladiesmasseur,dress sexy sometimes,1,"['dress', 'sexy', 'sometimes']",0.0,0.37,0.63,0
baby_breana,lol mom would get mad,0,"['lol', 'mom', 'would', 'get', 'mad']",0.356,0.333,0.311,1
aladiesmasseur,bet,1,['bet'],0.0,1.0,0.0,0
aladiesmasseur,ever naked front guy,1,"['ever', 'naked', 'front', 'guy']",0.0,1.0,0.0,0
baby_breana,omg lol,0,"['omg', 'lol']",0.0,0.263,0.737,0
aladiesmasseur,would love give massage,1,"['would', 'love', 'give', 'massage']",0.0,0.417,0.583,0
baby_breana,relly,0,['relly'],0.0,1.0,0.0,0
aladiesmasseur,nice warm lotion body,1,"['nice', 'warm', 'lotion', 'body']",0.0,0.299,0.701,0
baby_breana,never 1 b4,0,"['never', '1', 'b4']",0.0,1.0,0.0,0
aladiesmasseur,would love,1,"['would', 'love']",0.0,0.192,0.808,0
aladiesmasseur,give nice as rub,1,"['give', 'nice', 'as', 'rub']",0.0,0.517,0.483,0
baby_breana,lol,0,['lol'],0.0,0.0,1.0,0
baby_breana,way r serius,0,"['way', 'r', 'serius']",0.0,1.0,0.0,0
aladiesmasseur,yeah,1,['yeah'],0.0,0.0,1.0,0
baby_breana,id get embaressd,0,"['id', 'get', 'embaressd']",0.0,1.0,0.0,0
aladiesmasseur,would would make feel good,1,"['would', 'would', 'make', 'feel', 'good']",0.0,0.58,0.42,0
baby_breana,dunno,0,['dunno'],0.0,1.0,0.0,0
aladiesmasseur,home,1,['home'],0.0,1.0,0.0,0
baby_breana,1,0,['1'],0.0,0.0,0.0,0
aladiesmasseur,asking reason wearing,1,"['asking', 'reason', 'wearing']",0.0,1.0,0.0,0
baby_breana,short n tank,0,"['short', 'n', 'tank']",0.0,1.0,0.0,0
aladiesmasseur,massage gently remove top,1,"['massage', 'gently', 'remove', 'top']",0.0,0.294,0.706,0
baby_breana,,0,[],0.0,0.0,0.0,0
