NameId,Text,nid
baby_breana, hi u sent me a email so i added u to my list,0
baby_breana, hi,0
baby_breana, hi,0
aladiesmasseur, hello there my sweet,1
baby_breana, is ur name jim?,0
aladiesmasseur, how are you doing,1
aladiesmasseur,you are bad boy,1
baby_breana, im good,0
baby_breana, my name is breana,0
aladiesmasseur, glad to meet you,1
aladiesmasseur, did you look at my profile,1
baby_breana, no,0
aladiesmasseur, look at it,1
baby_breana, where is it,0
aladiesmasseur, I do like your shape and looks,1
baby_breana, aww lol thx,0
aladiesmasseur, just look up aladiesmasseur,1
baby_breana, umm k ill try,0
aladiesmasseur, ok,1
baby_breana, whats ur asl,0
aladiesmasseur, a young 50 I do massage work,1
baby_breana, im 13 f eureka,0
aladiesmasseur, eureka here too ca,1
aladiesmasseur, I'am just off of calif st.,1
aladiesmasseur, do the guys play with you at school,1
baby_breana, do what?,0
aladiesmasseur, touch you,1
baby_breana, no i mean kinda i dont know what u mean,0
aladiesmasseur, do you kiss,1
baby_breana, lol i kissed b4,0
aladiesmasseur, cool,1
aladiesmasseur, do you dress sexy sometimes,1
baby_breana, lol my mom would get mad,0
aladiesmasseur, I bet,1
aladiesmasseur, ever been naked in front of a guy,1
baby_breana, omg no lol,0
aladiesmasseur, would love to give you a massage,1
baby_breana, relly,0
aladiesmasseur, nice warm lotion all over your body,1
baby_breana, i never had 1 b4,0
aladiesmasseur, you would love it,1
aladiesmasseur, give you a nice ass rub,1
baby_breana, lol,0
baby_breana, no way r u serius,0
aladiesmasseur, yeah why not,1
baby_breana, id get embaressd,0
aladiesmasseur, why would you I would make you feel good,1
baby_breana, i dunno,0
aladiesmasseur, who is home with you now,1
baby_breana, no 1 y,0
aladiesmasseur, just asking no reason what are you wearing,1
baby_breana, shorts n tank y,0
aladiesmasseur, you are here for your massage and I gently remove your top,1
baby_breana, ,0
aladiesmasseur, I unshap your bra and let it fall to the floor,1
aladiesmasseur, I smile at you and have you lay face down,1
aladiesmasseur, has a guy ever jack't off in front of you,1
baby_breana, omg no,0
aladiesmasseur, would you like to see that sometime,1
baby_breana, i dunno,0
baby_breana, r u sending me a pic( I suddenly had a file tranfer notice ),0
aladiesmasseur, yes I am do you want it,1
baby_breana, what is it,0
aladiesmasseur, it is a surprise you can always take it off ,1
baby_breana, k,0
baby_breana, omg what was that ( Child porn is what it was ),0
aladiesmasseur, a girl your age sucking two guys dicks,1
baby_breana, omg,0
baby_breana, did u take that pic,0
aladiesmasseur, no she sent that to me,1
baby_breana, o,0
baby_breana, who is it,0
aladiesmasseur, some girl of long ago,1
aladiesmasseur, would you let me strip you naked for your massage ( At this time I placed a phone call to the nc3tf ),1
baby_breana, um maybe r all massages naked?,0
aladiesmasseur, no only what the lady wants,1
baby_breana, o,0
aladiesmasseur, I do what she says,1
baby_breana, o,0
aladiesmasseur, what would you like,1
baby_breana, i dunno r u relly gonna give me a massege,0
aladiesmasseur, if you want one where would you want it,1
baby_breana, huh?,0
aladiesmasseur, my place a motel the park,1
baby_breana, like i could just come to ur house?? u give them there?,0
aladiesmasseur, sometimes and I do ones at there homes too,1
baby_breana, o,0
aladiesmasseur, maybe I would pour some flovered lotion over your nipples,1
aladiesmasseur, flavored,1
baby_breana, relly?,0
aladiesmasseur, then use my tongue and lick it all up,1
baby_breana, lol,0
aladiesmasseur, are your nipples hard,1
baby_breana, i dont think so,0
